neighbourhood,neighbourhood_group,airbnb_counts_per_neighbourhood,hotel_counts_per_neighbourhood
Jackson Heights,Queens,207,2
Jamaica,Queens,312,54
Jamaica Estates,Queens,38,0
Jamaica Hills,Queens,15,0
Kensington,Brooklyn,117,6
Kew Gardens,Queens,50,2
Kew Gardens Hills,Queens,35,0
Kingsbridge,Bronx,75,2
Kips Bay,Manhattan,408,87
LaGuardia Airport,Queens,2,0
Laurelton,Queens,70,2
Lighthouse Hill,Staten Island,2,0
Little Italy,Manhattan,102,0
Little Neck,Queens,7,0
Long Island City,Queens,477,0
Longwood,Bronx,67,9
Lower East Side,Manhattan,797,0
Manhattan Beach,Brooklyn,9,0
Marble Hill,Manhattan,9,0
Marine Park,Brooklyn,16,0
Mariners Harbor,Staten Island,22,0
Maspeth,Queens,102,4
Melrose,Bronx,16,0
Middle Village,Queens,36,0
Midland Beach,Staten Island,8,0
Midtown,Manhattan,1701,0
Midwood,Brooklyn,103,6
Mill Basin,Brooklyn,14,0
Morningside Heights,Manhattan,188,101
Morris Heights,Bronx,21,0
Morris Park,Bronx,27,2
Morrisania,Bronx,19,0
Mott Haven,Bronx,92,6
Mount Eden,Bronx,12,0
Mount Hope,Bronx,31,0
Murray Hill,Manhattan,371,458
Navy Yard,Brooklyn,7,0
Neponsit,Queens,2,0
New Brighton,Staten Island,10,0
New Dorp,Staten Island,1,0
New Dorp Beach,Staten Island,6,0
New Springville,Staten Island,3,0
NoHo,Manhattan,40,0
Nolita,Manhattan,223,0
North Riverdale,Bronx,38,0
Norwood,Bronx,27,0
Oakwood,Staten Island,7,0
Olinville,Bronx,12,0
Ozone Park,Queens,88,6
Park Hill,Staten Island,7,0
Park Slope,Brooklyn,324,0
Parkchester,Bronx,46,0
Pelham Bay,Bronx,14,0
Pelham Bay Park,Bronx,3,0
Pelham Gardens,Bronx,32,0
Pelham Islands,Bronx,1,0
Port Ivory,Staten Island,15,0
Port Morris,Bronx,39,0
Port Richmond,Staten Island,20,0
Prince's Bay,Staten Island,6,0
Prospect Heights,Brooklyn,217,0
Prospect Park,Brooklyn,7,0
Prospect-Lefferts Gardens,Brooklyn,430,0
Queens Village,Queens,104,5
Randall Manor,Staten Island,40,0
Red Hook,Brooklyn,59,0
Rego Park,Queens,93,2
Richmond Hill,Queens,118,0
Richmondtown,Staten Island,3,0
Ridgewood,Queens,315,0
Riverdale,Bronx,9,0
Rockaway Beach,Queens,72,0
Rockaway Park,Queens,85,0
Roosevelt Island,Manhattan,47,2
Rosebank,Staten Island,7,0
Rosedale,Queens,147,0
Schuylerville,Bronx,19,0
Sea Gate,Brooklyn,15,0
Sheepshead Bay,Brooklyn,172,0
Shore Acres,Staten Island,9,0
Silver Lake,Staten Island,3,0
SoHo,Manhattan,242,0
Soundview,Bronx,15,4
South Beach,Staten Island,2,0
South Ozone Park,Queens,72,4
South Slope,Brooklyn,190,0
Springfield Gardens,Queens,137,0
Spuyten Duyvil,Bronx,5,0
St. Albans,Queens,113,0
St. George,Staten Island,45,0
Stapleton,Staten Island,19,0
Stuyvesant Town,Manhattan,59,0
Sunnyside,Queens,284,12
Sunset Park,Brooklyn,297,0
Theater District,Manhattan,322,0
Throgs Neck,Bronx,31,0
Todt Hill,Staten Island,4,0
Tompkinsville,Staten Island,37,0
Tottenville,Staten Island,8,0
Tremont,Bronx,25,0
Tribeca,Manhattan,246,0
Two Bridges,Manhattan,44,0
Unionport,Bronx,13,0
University Heights,Bronx,13,0
Upper East Side,Manhattan,1379,272
Upper West Side,Manhattan,1630,714
Van Cortlandt Park,Bronx,36,0
Van Nest,Bronx,27,0
Vinegar Hill,Brooklyn,30,0
Wakefield,Bronx,192,0
Washington Heights,Manhattan,587,8
West Brighton,Staten Island,27,0
West Farms,Bronx,6,0
West Village,Manhattan,572,0
Westchester Square,Bronx,7,0
Westerleigh,Staten Island,1,0
Whitestone,Queens,13,2
Williamsbridge,Bronx,70,0
Williamsburg,Brooklyn,2456,12
Willowbrook,Staten Island,1,0
Windsor Terrace,Brooklyn,114,0
Woodhaven,Queens,85,0
Woodlawn,Bronx,7,9
Woodrow,Staten Island,1,0
Woodside,Queens,336,0
