PARID,neighbourhood_group,zipcode,neighbourhood,hotel_counts_per_neighbourhood
1004911217,Manhattan,10013,Chinatown,907
1004911218,Manhattan,10013,Chinatown,907
1004911219,Manhattan,10013,Chinatown,907
1004911220,Manhattan,10013,Chinatown,907
1004911221,Manhattan,10013,Chinatown,907
1004911222,Manhattan,10013,Chinatown,907
1004911223,Manhattan,10013,Chinatown,907
1004911224,Manhattan,10013,Chinatown,907
1004911225,Manhattan,10013,Chinatown,907
1004911226,Manhattan,10013,Chinatown,907
1004911227,Manhattan,10013,Chinatown,907
1004911228,Manhattan,10013,Chinatown,907
1004911229,Manhattan,10013,Chinatown,907
1004911230,Manhattan,10013,Chinatown,907
1004911231,Manhattan,10013,Chinatown,907
1004911232,Manhattan,10013,Chinatown,907
1004911233,Manhattan,10013,Chinatown,907
1004911234,Manhattan,10013,Chinatown,907
1004911235,Manhattan,10013,Chinatown,907
1004911236,Manhattan,10013,Chinatown,907
1004911237,Manhattan,10013,Chinatown,907
1004911238,Manhattan,10013,Chinatown,907
1004911239,Manhattan,10013,Chinatown,907
1004911240,Manhattan,10013,Chinatown,907
1004911241,Manhattan,10013,Chinatown,907
1004911242,Manhattan,10013,Chinatown,907
1004911243,Manhattan,10013,Chinatown,907
1004911244,Manhattan,10013,Chinatown,907
1004911245,Manhattan,10013,Chinatown,907
1004911246,Manhattan,10013,Chinatown,907
1004911247,Manhattan,10013,Chinatown,907
1004911248,Manhattan,10013,Chinatown,907
1004911249,Manhattan,10013,Chinatown,907
1004911250,Manhattan,10013,Chinatown,907
1004911251,Manhattan,10013,Chinatown,907
1004911252,Manhattan,10013,Chinatown,907
1004911253,Manhattan,10013,Chinatown,907
1004911254,Manhattan,10013,Chinatown,907
1004911255,Manhattan,10013,Chinatown,907
1004911256,Manhattan,10013,Chinatown,907
1004911257,Manhattan,10013,Chinatown,907
1004911258,Manhattan,10013,Chinatown,907
1004911259,Manhattan,10013,Chinatown,907
1004911260,Manhattan,10013,Chinatown,907
1004911261,Manhattan,10013,Chinatown,907
1004911262,Manhattan,10013,Chinatown,907
1004911263,Manhattan,10013,Chinatown,907
1004911264,Manhattan,10013,Chinatown,907
1004911265,Manhattan,10013,Chinatown,907
1004911266,Manhattan,10013,Chinatown,907
1004911267,Manhattan,10013,Chinatown,907
1004911268,Manhattan,10013,Chinatown,907
1004911269,Manhattan,10013,Chinatown,907
1004911270,Manhattan,10013,Chinatown,907
1004911271,Manhattan,10013,Chinatown,907
1004911272,Manhattan,10013,Chinatown,907
1004911273,Manhattan,10013,Chinatown,907
1004911274,Manhattan,10013,Chinatown,907
1004911275,Manhattan,10013,Chinatown,907
1004911276,Manhattan,10013,Chinatown,907
